CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,AGEAD
3,0,0,A,0,,10,44
4,1998,0,C,0,,10,25
3,2186,3,M,2,,10,37
3,2790,1,D,2,,10,34
2,0,0,A,0,,10,25
2,0,0,A,0,,10,26
3,0,0,M,2,,10,24
3,0,0,V,2,,10,41
3,0,0,D,0,DV,21,41
2,1450,1,M,2,,10,28
3,2183,2,M,2,,10,25
2,0,0,A,0,,10,30
3,2400,0,E,2,,10,35
3,0,0,A,0,,10,51
3,2557,0,D,2,,10,32
3,0,0,M,2,,10,25
3,0,0,A,2,DV,21,39
2,0,0,M,2,,10,35
2,0,0,A,0,,10,32
2,0,0,A,0,,10,30
3,0,0,A,0,,10,32
3,0,0,A,0,,10,34
2,3178,0,M,2,,10,35
3,0,0,D,0,,10,39
2,0,0,A,0,,10,42
2,0,0,M,2,,10,37
2,0,0,M,2,,25,34
3,1954,0,M,2,,10,41
2,1452,2,U,2,,10,30
3,0,0,M,2,,10,37
2,0,0,M,2,,10,32
2,0,0,A,0,DV,21,51
3,0,0,A,0,,10,34
2,0,0,A,0,DC,10,54
2,0,0,A,0,,10,35
3,0,0,A,0,,10,25
3,0,0,C,2,,10,47
2,0,0,M,2,,10,43
2,1600,2,M,2,,10,22
3,0,0,A,0,,10,29
3,0,0,A,0,,10,32
2,0,0,D,2,,10,31
3,0,0,A,0,,10,42
3,0,0,M,0,DV,21,22
2,0,0,A,0,DC,10,32
3,0,0,M,2,,10,30
3,2040,2,D,2,,10,24
2,0,0,M,2,,10,61
2,0,0,A,0,,10,23
2,2016,2,M,2,,10,34
3,0,0,A,2,DC,10,48
2,0,0,A,2,DC,10,57
3,0,0,B,2,,10,26
3,0,0,M,2,,10,41
3,1704,0,M,2,,10,30
4,2709,0,C,2,,10,24
2,2032,0,M,2,,10,43
3,2208,0,B,2,,10,31
2,3529,1,M,2,,10,28
2,0,0,V,2,,10,49
3,2117,0,M,2,,10,31
2,2420,2,M,2,,10,30
2,0,0,D,2,,10,28
2,2903,0,M,2,,10,30
3,0,0,A,0,,10,30
2,0,0,M,2,,10,22
2,0,0,A,0,,10,56
2,3478,3,M,2,,10,25
2,0,0,M,2,,10,30
3,0,0,D,0,,10,61
3,0,1,M,2,,10,20
3,0,0,A,0,DV,21,28
3,0,1,M,2,,10,24
3,0,2,M,2,,10,21
2,0,0,M,0,,10,47
2,0,0,A,0,,10,40
3,0,0,C,2,,10,39
2,2273,4,M,2,,10,39
2,2700,0,M,2,,10,32
3,0,0,V,0,,10,38
2,0,0,A,0,DV,10,25
3,0,0,A,0,,10,32
2,0,0,A,0,,10,30
2,1964,0,M,2,,10,31
3,0,0,A,0,,10,42
3,4475,2,M,2,,10,25
3,1977,0,M,2,,10,33
2,0,0,D,2,,10,31
2,0,0,M,2,,10,32
3,0,0,A,0,,10,29
3,0,0,M,2,,10,22
3,0,0,A,0,,10,37
2,0,0,A,0,DC,10,55
3,0,0,S,0,DV,21,29
3,0,0,M,2,,10,30
3,2710,0,D,2,,10,44
4,0,0,C,2,,10,50
3,0,0,M,2,,10,38
3,6000,1,M,2,,10,23
3,0,0,A,0,DC,10,53
2,0,0,M,2,,10,33
2,4416,0,M,2,,10,33
3,2202,1,D,2,,10,34
2,0,0,A,2,DC,10,50
2,0,0,M,2,,10,25
3,0,0,C,0,,10,26
3,0,0,C,2,,10,25
3,0,0,M,2,,10,27
4,1950,0,C,2,,10,26
3,4097,0,D,2,,10,37
3,2913,0,D,2,,10,40
4,0,0,C,2,,10,19
2,0,0,M,2,,10,30
2,0,0,A,0,,10,54
2,0,0,M,0,DV,21,36
3,0,0,A,0,,10,34
3,0,0,M,2,,10,27
3,1300,0,V,2,,10,45
2,0,0,A,0,,10,34
3,2272,0,D,2,,10,43
2,0,0,A,0,DV,21,48
3,0,0,M,2,,10,41
3,0,0,C,2,,10,41
4,0,0,C,2,,10,41
4,0,0,C,0,,10,32
3,0,0,M,0,,10,41
2,0,0,C,2,,10,23
3,0,0,M,0,DV,21,37
2,0,0,A,0,,10,33
3,0,0,A,0,DV,21,35
3,0,0,M,2,,10,38
3,1965,2,G,2,,10,23
3,0,0,D,2,,10,37
3,0,0,D,2,,10,33
3,0,0,M,2,,10,29
3,0,0,A,0,,10,31
3,1905,1,M,2,,10,38
3,0,0,A,0,,10,35
3,1560,0,M,2,,10,39
3,0,0,C,2,,10,34
3,0,0,M,2,,10,41
2,0,0,M,2,,10,44
4,0,0,C,0,,10,21
3,0,0,A,2,DV,10,34
2,0,0,A,0,,10,44
2,0,0,A,0,DC,21,47
2,3100,2,M,2,,10,22
2,2500,0,S,2,,10,33
2,2235,0,M,2,,10,35
3,1810,0,D,2,,10,29
3,0,0,A,0,DV,21,28
2,0,0,M,2,,10,44
3,1729,0,M,2,,10,32
2,0,0,A,0,,10,27
3,1705,1,M,2,,10,22
3,0,0,A,0,,10,27
3,0,0,A,0,,10,50
3,920,1,G,2,,10,26
3,0,0,A,0,,10,29
3,0,0,M,0,DC,10,34
2,0,0,A,0,DV,21,41
3,2365,0,M,2,,10,33
2,0,0,D,2,,10,32
3,0,0,A,2,DC,10,48
2,0,0,M,2,,10,33
2,0,0,M,0,,10,41
3,0,0,M,2,,10,47
3,0,0,M,2,,10,34
4,0,0,C,0,,10,38
2,0,0,A,0,,10,49
3,0,0,M,2,,10,35
2,5192,0,M,2,,10,28
2,0,0,D,2,,10,31
3,0,0,A,0,,10,41
4,0,0,C,0,,10,24
3,2456,0,M,2,,10,32
4,0,0,C,0,DV,21,2
3,0,0,A,0,DV,21,35
3,0,0,A,0,,10,49
3,0,0,M,2,,10,45
3,1890,0,M,2,,10,34
3,1058,0,M,2,,10,32
3,0,0,M,2,,10,31
3,0,0,M,2,,10,30
2,0,0,M,2,,10,45
2,2400,0,M,2,,10,38
4,0,0,C,0,,21,17
2,2775,2,M,2,,10,30
3,0,0,A,0,DV,21,48
4,0,0,C,2,,10,23
2,0,0,A,0,DC,21,57
2,0,0,A,0,,10,28
2,0,0,A,0,,10,36
3,2698,0,D,0,,10,34
2,3516,0,B,2,,10,37
3,0,0,A,0,,10,47
3,0,0,M,2,,10,46
4,0,0,C,2,,10,38
3,758,0,M,2,,10,35
3,0,0,A,0,,10,25
3,0,0,A,0,,10,34
2,0,0,A,0,,10,37
3,0,0,M,2,,10,30
3,0,0,A,0,,10,39
3,0,0,A,0,,10,35
2,0,0,M,2,,10,36
2,0,0,A,0,,21,34
2,0,0,A,0,,10,48
2,1850,2,E,2,,10,39
3,0,0,A,0,,10,52
3,0,0,M,2,,10,41
2,0,1,B,2,,10,30
4,0,0,C,2,,10,36
2,0,0,A,0,,10,39
3,0,0,A,0,,10,26
2,0,0,M,2,,10,46
3,0,0,M,2,,10,46
4,0,0,C,2,,10,57
2,0,0,A,0,,10,48
2,4200,1,E,2,,10,32
2,0,0,M,2,,10,49
3,0,0,A,2,,10,30
3,0,0,M,2,,10,54
3,0,0,M,0,,10,24
3,0,0,M,2,,10,45
2,4209,2,M,2,,10,33
2,0,0,A,0,,10,55
2,0,0,M,2,,10,33
3,0,0,M,2,,10,34
2,2400,0,B,2,,10,39
2,0,0,M,2,,10,42
3,0,0,D,2,,10,34
2,3168,2,M,2,,10,44
2,2128,1,M,2,,10,28
3,0,0,A,0,,10,50
2,0,0,A,0,,10,20
2,0,0,A,0,,10,46
2,0,0,C,2,,10,36
2,0,0,A,0,DV,21,53
3,950,0,D,2,,10,44
4,0,0,C,0,,10,51
3,0,0,A,0,,10,41
3,0,0,A,2,DC,10,40
2,2441,0,G,2,,10,44
2,0,0,D,2,,10,39
3,0,0,A,0,,10,68
2,0,0,M,2,,10,51
2,0,0,A,0,,10,31
3,0,0,M,2,,10,52
2,0,0,M,2,,10,29
2,0,0,M,0,DC,21,51
2,0,0,A,2,DV,10,47
4,0,0,C,2,,10,45
2,2574,0,M,2,,10,47
2,0,0,A,0,,10,24
2,1743,0,M,2,,10,44
2,0,0,A,2,DC,10,38
4,0,0,C,2,,10,21
2,2838,0,B,2,DC,10,44
2,1700,0,G,2,,10,29
2,0,0,M,2,,10,38
3,2173,0,D,2,,10,37
3,1737,1,D,2,,10,28
3,0,0,V,2,,10,61
2,0,0,M,2,,10,67
3,0,0,A,0,,10,28
2,0,1,A,0,,10,55
2,0,0,A,2,DC,10,56
2,2800,1,D,2,,10,32
2,0,0,A,0,,10,26
2,1531,0,M,2,,10,33
2,0,0,A,0,,10,38
3,0,0,A,0,,10,26
3,0,0,A,0,,10,39
4,0,0,C,2,,10,52
3,0,0,M,2,,10,36
3,0,0,A,0,,10,42
3,0,0,A,0,,10,27
3,0,0,M,0,,10,29
3,2260,1,M,2,,10,30
2,0,0,A,0,,10,32
2,0,0,D,2,,10,30
3,0,0,A,0,,10,21
3,0,0,A,0,DV,21,59
4,0,0,C,0,DC,10,32
2,4588,3,D,2,,10,20
2,0,0,M,2,,10,21
2,1800,2,M,2,,10,20
3,1591,0,M,2,,10,42
2,2000,0,C,2,,10,32
3,0,0,M,2,,10,44
2,0,0,M,2,,10,23
3,1911,3,M,2,,10,24
2,0,0,A,0,,10,30
2,2041,0,M,2,,10,34
3,1350,0,M,0,DC,21,35
3,0,0,A,0,,10,22
2,1542,2,M,2,,10,33
3,0,0,M,2,,10,37
3,0,0,A,0,,10,52
2,0,0,M,2,,10,37
2,0,0,M,2,,10,52
2,0,0,A,0,,10,30
2,0,0,A,0,,10,29
2,0,0,A,0,,10,26
4,0,0,C,0,,10,21
3,0,0,A,0,,10,34
3,0,2,M,2,,10,28
3,0,0,A,0,DV,21,36
2,0,0,A,0,,10,28
3,2164,1,D,2,,10,20
3,0,0,M,2,,10,29
3,0,0,M,2,,10,26
2,1962,3,M,2,,10,23
3,0,0,A,0,,10,35
3,1341,1,M,2,,10,26
3,0,0,A,0,,10,33
4,0,0,C,2,,10,45
2,0,3,M,0,,10,48
3,1500,1,G,2,,10,26
3,2271,1,D,2,,10,26
3,0,0,V,2,,10,48
2,0,0,A,0,,10,29
2,2288,2,M,0,,10,28
2,0,0,C,2,,10,36
2,0,0,M,2,,10,58
2,0,0,A,0,,10,33
3,1771,1,D,2,,10,32
2,0,0,C,2,,10,27
3,1348,0,M,2,,10,42
3,0,0,D,2,,10,23
3,0,0,A,0,DV,21,49
